scorer,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,tailbase,tailbase,tailbase,tailend,tailend,tailend
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,78.33567810058594,89.50669860839844,0.9999995827674866,75.04130554199219,111.99407958984375,0.9999997615814209,89.72840118408203,99.4319076538086,1.0,139.85989379882812,181.7217254638672,1.0,230.2035675048828,272.085205078125,1.0
1,76.97631072998047,87.2137680053711,0.9999998807907104,73.67739868164062,109.93862915039062,0.999997615814209,88.50569915771484,96.65079498291016,1.0,140.1055908203125,179.16510009765625,1.0,232.0704803466797,262.9884948730469,1.0
2,75.60631561279297,84.5206069946289,1.0,72.91478729248047,106.39495086669922,0.9999980926513672,87.13772583007812,92.58164978027344,1.0,142.15928649902344,176.61024475097656,1.0,239.1988525390625,257.37091064453125,1.0
3,74.63326263427734,81.61354064941406,1.0,71.86952209472656,102.6441879272461,0.9999998807907104,87.04792022705078,89.34659576416016,1.0,144.09347534179688,173.12677001953125,1.0,244.1495361328125,246.65513610839844,1.0
4,73.96173095703125,78.73624420166016,0.9999998807907104,71.6579818725586,99.24267578125,0.9999999403953552,86.50582122802734,87.510986328125,1.0,147.4804229736328,169.33755493164062,1.0,246.68215942382812,241.07647705078125,1.0
5,74.0488052368164,75.3542709350586,0.9999998807907104,70.98829650878906,95.37422180175781,0.9999997615814209,86.7647476196289,84.56487274169922,1.0,150.11790466308594,164.8333282470703,1.0,248.90283203125,237.47039794921875,0.9999997019767761
6,73.82673645019531,73.13043975830078,0.9999999403953552,71.52547454833984,93.77796173095703,0.9999996423721313,87.0855712890625,81.9228286743164,1.0,152.42947387695312,160.50930786132812,1.0,251.06459045410156,233.47044372558594,0.9999984502792358
7,74.9368896484375,71.97216033935547,1.0,72.123291015625,92.37248229980469,0.9999989867210388,88.43978881835938,80.60848999023438,1.0,153.35731506347656,155.8983154296875,0.9999999403953552,251.64073181152344,227.394775390625,1.0
8,77.19949340820312,70.98426818847656,0.9999998807907104,72.90214538574219,91.4566879272461,0.9999957084655762,89.378662109375,79.73335266113281,0.9999998807907104,154.78665161132812,151.23416137695312,1.0,256.8800964355469,220.8001251220703,1.0
9,79.65547180175781,68.88146209716797,1.0,75.10346221923828,90.06885528564453,0.9999799132347107,91.66201782226562,78.75732421875,1.0,156.44471740722656,147.46067810058594,1.0,261.2345886230469,212.93653869628906,1.0
10,82.15428161621094,67.71492004394531,1.0,77.2999038696289,87.82978820800781,0.9999954700469971,93.30952453613281,76.82990264892578,1.0,157.77413940429688,143.83670043945312,0.9999998807907104,263.0058898925781,207.3521270751953,0.9999999403953552
11,84.56497192382812,66.44257354736328,1.0,78.85236358642578,86.29447174072266,0.9999994039535522,96.69223022460938,75.40691375732422,1.0,159.71665954589844,140.46803283691406,0.9999999403953552,265.6279296875,204.03407287597656,0.9999995231628418
